# Pays, Participation (%), PPE, S&D, PfE, ECR, Renew, Verts/ALE, Gauche, ESN, NI
# Groupes : PPE (Droite), S&D (Soc-Dem), PfE (Patriotes), ECR (Conservateurs), Renew (Libéraux)
# Verts/ALE (Écologistes), Gauche (GUE/NGL), ESN (Souverainistes), NI (Non-inscrits)
64.74,31,8
51.49,6,5
48.31,9,0
46.39,22,8
40.65,23,4
46.18,6,1
89.01,3,0
56.20,20,0
52.33,12,0
50.12,11,1
44.18,7,0
48.60,11,1
41.46,6,1
58.89,7,1
50.20,5,0
28.94,1,1
37.50,6,0
34.74,7,0
21.35,1,1
33.70,5,0
51.10,2,0
52.30,4,0
41.30,3,1
49.20,1,0
32.30,2,1
33.00,1,0
30.00,1,0
